,,object_color,placement,object_name,micro avg,macro avg,weighted avg,pipeline,split
1,precision,0.9401197604790411,0.962962962962962,0.9633027522935781,0.956521739130434,0.9554618252451941,0.9567584412145841,custom,0
1,recall,0.9812500000000001,0.962962962962962,0.954545454545454,0.9632224168126091,0.966252805836139,0.9632224168126091,custom,0
1,f1-score,0.9602446483180421,0.962962962962962,0.958904109589041,0.9598603839441531,0.9607039069566821,0.9598555164540631,custom,0
2,precision,0.9810126582278481,0.9879518072289151,0.9405940594059401,0.959558823529411,0.9698528416209011,0.9602855817500021,custom,0
2,recall,0.974842767295597,0.9318181818181811,0.979381443298969,0.970260223048327,0.962014130804249,0.970260223048327,custom,0
2,f1-score,0.9779179810725551,0.9590643274853801,0.9595959595959591,0.964879852125693,0.965526089384631,0.9649238737019961,custom,0
3,precision,0.9798657718120801,0.9411764705882351,0.9415384615384611,0.9516994633273701,0.9541935679795921,0.951869669213229,custom,0
3,recall,0.9668874172185431,0.8791208791208791,0.9714285714285711,0.9551166965888681,0.9391456225893311,0.9551166965888681,custom,0
3,f1-score,0.973333333333333,0.9090909090909091,0.956249999999999,0.9534050179211461,0.946224747474747,0.9531765817964201,custom,0
1,precision,0.9454545454545451,0.9397590361445781,0.9693251533742331,0.9581881533101041,0.9515129116577851,0.9584422238422681,custom,10
1,recall,0.975,0.962962962962962,0.9575757575757571,0.9632224168126091,0.9651795735129061,0.9632224168126091,custom,10
1,f1-score,0.96,0.951219512195121,0.9634146341463411,0.9606986899563311,0.9582113821138211,0.960727862970398,custom,10
2,precision,0.9872611464968151,1.0,0.93687707641196,0.96067415730337,0.974712740969591,0.962092474960732,custom,10
2,recall,0.974842767295597,0.8636363636363631,0.969072164948453,0.9535315985130111,0.9358504319601381,0.9535315985130111,custom,10
2,f1-score,0.9810126582278481,0.9268292682926821,0.9527027027027021,0.9570895522388061,0.9535148764077441,0.9568373136700191,custom,10
3,precision,0.967105263157894,0.954545454545454,0.9442724458204331,0.952042628774422,0.9553077211745941,0.952140667026777,custom,10
3,recall,0.9735099337748341,0.923076923076923,0.968253968253968,0.9622980251346491,0.9549469417019081,0.9622980251346491,custom,10
3,f1-score,0.97029702970297,0.9385474860335191,0.9561128526645761,0.9571428571428571,0.9549857894670221,0.957088368588044,custom,10
1,precision,0.9746835443037971,0.973684210526315,0.9494047619047611,0.9596491228070171,0.9659241722449581,0.959932328493538,custom,30
1,recall,0.9625,0.9135802469135801,0.9666666666666661,0.9579684763572681,0.9475823045267491,0.9579684763572681,custom,30
1,f1-score,0.9685534591194961,0.942675159235668,0.9579579579579571,0.9588080631025411,0.9563955254377071,0.9587589623175741,custom,30
2,precision,0.974842767295597,1.0,0.9328859060402681,0.955223880597014,0.969242891111955,0.9562635662782861,custom,30
2,recall,0.974842767295597,0.897727272727272,0.955326460481099,0.9516728624535311,0.9426321668346561,0.9516728624535311,custom,30
2,f1-score,0.974842767295597,0.9461077844311371,0.943972835314091,0.9534450651769081,0.954974462346942,0.953445316182789,custom,30
3,precision,0.9863945578231291,0.8829787234042551,0.953125,0.9500891265597141,0.9408327604091281,0.9506840521742901,custom,30
3,recall,0.9602649006622511,0.9120879120879121,0.968253968253968,0.9569120287253141,0.946868927001377,0.9569120287253141,custom,30
3,f1-score,0.9731543624161071,0.8972972972972971,0.960629921259842,0.9534883720930231,0.943693860324415,0.953678254893602,custom,30
1,precision,0.934131736526946,0.9740259740259741,0.9634146341463411,0.956293706293706,0.9571907815664201,0.9567145551816251,custom,50
1,recall,0.975,0.925925925925925,0.9575757575757571,0.9579684763572681,0.9528338945005611,0.9579684763572681,custom,50
