,,affirmative,none,deny,show,find,bye,greetings,move,clarify,pick up,macro avg,weighted avg,pipeline,split
1,precision,0.9047619047619041,0.827586206896551,0.9677419354838711,0.8909090909090901,0.9677419354838711,1.0,0.8125,0.864864864864864,0.9393939393939391,0.897959183673469,0.907345906146756,0.904827816512724,custom,0
1,recall,0.9047619047619041,0.827586206896551,0.9375,0.924528301886792,0.8571428571428571,0.818181818181818,0.928571428571428,0.864864864864864,0.9393939393939391,0.9263157894736841,0.8928847111173841,0.9027777777777771,custom,0
1,f1-score,0.9047619047619041,0.827586206896551,0.9523809523809521,0.9074074074074071,0.9090909090909091,0.9,0.866666666666666,0.864864864864864,0.9393939393939391,0.9119170984455961,0.8984069949908791,0.9029233960350821,custom,0
2,precision,0.76,0.6666666666666661,0.7741935483870961,0.9615384615384611,0.911764705882352,0.9,0.7058823529411761,0.9032258064516121,0.9375,0.8316831683168311,0.83524547101842,0.850249830053128,custom,0
2,recall,0.9047619047619041,0.620689655172413,0.75,0.943396226415094,0.8857142857142851,0.818181818181818,0.8571428571428571,0.756756756756756,0.9090909090909091,0.8842105263157891,0.8329944939551831,0.8472222222222221,custom,0
2,f1-score,0.826086956521739,0.642857142857142,0.7619047619047611,0.9523809523809521,0.898550724637681,0.8571428571428571,0.7741935483870961,0.8235294117647061,0.923076923076923,0.8571428571428571,0.8316866135816711,0.847014113001861,custom,0
3,precision,0.9500000000000001,0.7241379310344821,0.8709677419354831,0.8771929824561401,0.911764705882352,1.0,0.846153846153846,0.7837837837837831,0.8571428571428571,0.8526315789473681,0.8673775427336311,0.8565439684718371,custom,0
3,recall,0.9047619047619041,0.7241379310344821,0.8437500000000001,0.943396226415094,0.8857142857142851,0.818181818181818,0.785714285714285,0.7837837837837831,0.9090909090909091,0.8526315789473681,0.845116272364393,0.8555555555555551,custom,0
3,f1-score,0.9268292682926821,0.7241379310344821,0.8571428571428571,0.9090909090909091,0.898550724637681,0.9,0.8148148148148141,0.7837837837837831,0.8823529411764701,0.8526315789473681,0.8549334808921051,0.8554114835363491,custom,0
1,precision,0.8636363636363631,0.8,0.9666666666666661,0.8909090909090901,0.9677419354838711,1.0,0.8571428571428571,0.842105263157894,0.9375,0.8877551020408161,0.9013457279037561,0.8966415998903721,custom,10
1,recall,0.9047619047619041,0.827586206896551,0.9062500000000001,0.924528301886792,0.8571428571428571,0.9090909090909091,0.8571428571428571,0.864864864864864,0.9090909090909091,0.91578947368421,0.8876248284561851,0.894444444444444,custom,10
1,f1-score,0.883720930232558,0.813559322033898,0.9354838709677411,0.9074074074074071,0.9090909090909091,0.9523809523809521,0.8571428571428571,0.853333333333333,0.923076923076923,0.901554404145077,0.893675090981165,0.8948787467234821,custom,10
2,precision,0.7307692307692301,0.6666666666666661,0.7741935483870961,0.9615384615384611,0.861111111111111,0.9,0.75,0.9310344827586201,0.8823529411764701,0.8484848484848481,0.8306151290892501,0.8475724766812631,custom,10
2,recall,0.9047619047619041,0.620689655172413,0.75,0.943396226415094,0.8857142857142851,0.818181818181818,0.8571428571428571,0.729729729729729,0.9090909090909091,0.8842105263157891,0.8302917912524801,0.8444444444444441,custom,10
2,f1-score,0.8085106382978721,0.642857142857142,0.7619047619047611,0.9523809523809521,0.873239436619718,0.8571428571428571,0.799999999999999,0.818181818181818,0.8955223880597011,0.8659793814432991,0.8275719376888121,0.84378800675091,custom,10
3,precision,1.0,0.689655172413793,0.8484848484848481,0.8793103448275861,1.0,1.0,0.846153846153846,0.805555555555555,0.8571428571428571,0.8217821782178211,0.8748084802796301,0.857671372348594,custom,10
3,recall,0.8571428571428571,0.689655172413793,0.875,0.9622641509433961,0.8,0.818181818181818,0.785714285714285,0.7837837837837831,0.9090909090909091,0.8736842105263151,0.835451718779715,0.8527777777777771,custom,10
3,f1-score,0.923076923076923,0.689655172413793,0.861538461538461,0.9189189189189181,0.8888888888888891,0.9,0.8148148148148141,0.7945205479452051,0.8823529411764701,0.846938775510204,0.852070544428367,0.8529143288370351,custom,10
1,precision,0.8636363636363631,0.8064516129032251,0.8571428571428571,0.90566037735849,0.9677419354838711,1.0,0.9166666666666661,0.864864864864864,0.9090909090909091,0.8969072164948451,0.898816280364209,0.8940625513372431,custom,30
1,recall,0.9047619047619041,0.8620689655172411,0.9375,0.90566037735849,0.8571428571428571,0.818181818181818,0.785714285714285,0.864864864864864,0.9090909090909091,0.91578947368421,0.8760775456316581,0.891666666666666,custom,30
1,f1-score,0.883720930232558,0.833333333333333,0.8955223880597011,0.90566037735849,0.9090909090909091,0.9,0.846153846153846,0.864864864864864,0.9090909090909091,0.9062499999999991,0.8853687558184611,0.891776689677212,custom,30
2,precision,0.7307692307692301,0.695652173913043,0.827586206896551,0.925925925925925,0.875,0.8888888888888881,0.75,0.9,0.8571428571428571,0.8113207547169811,0.826228603825347,0.835113509294447,custom,30
2,recall,0.9047619047619041,0.551724137931034,0.75,0.943396226415094,0.8,0.7272727272727271,0.8571428571428571,0.729729729729729,0.9090909090909091,0.9052631578947361,0.807838165023899,0.833333333333333,custom,30
2,f1-score,0.8085106382978721,0.6153846153846151,0.7868852459016391,0.9345794392523361,0.835820895522388,0.799999999999999,0.799999999999999,0.8059701492537311,0.8823529411764701,0.8557213930348251,0.8125225317823881,0.83062144906233,custom,30
3,precision,0.894736842105263,0.6875,0.8709677419354831,0.8596491228070171,0.928571428571428,1.0,0.846153846153846,0.8,0.8529411764705881,0.816326530612244,0.855684668865587,0.8411210500354561,custom,30
3,recall,0.8095238095238091,0.758620689655172,0.8437500000000001,0.924528301886792,0.7428571428571421,0.7272727272727271,0.785714285714285,0.864864864864864,0.8787878787878781,0.842105263157894,0.817802496372056,0.836111111111111,custom,30
3,f1-score,0.8500000000000001,0.7213114754098361,0.8571428571428571,0.8909090909090901,0.825396825396825,0.842105263157894,0.8148148148148141,0.8311688311688311,0.865671641791044,0.8290155440414501,0.8327536343832641,0.8362531328915571,custom,30
1,precision,0.833333333333333,0.628571428571428,0.8,0.90566037735849,0.9,1.0,0.6923076923076921,0.866666666666666,0.9032258064516121,0.8,0.8329765304689221,0.8316499927790251,custom,50
1,recall,0.9523809523809521,0.758620689655172,0.75,0.90566037735849,0.771428571428571,0.818181818181818,0.642857142857142,0.7027027027027021,0.8484848484848481,0.8842105263157891,0.8034527629365481,0.8250000000000001,custom,50
1,f1-score,0.8888888888888891,0.6875,0.7741935483870961,0.90566037735849,0.83076923076923,0.9,0.6666666666666661,0.7761194029850741,0.875,0.8400000000000001,0.814479811505544,0.8252223181548831,custom,50
2,precision,0.8,0.5862068965517241,0.8125,0.8392857142857141,0.833333333333333,1.0,0.6000000000000001,0.8709677419354831,0.8529411764705881,0.7272727272727271,0.7922507589849571,0.7842016219162801,custom,50
2,recall,0.7619047619047611,0.5862068965517241,0.8125,0.886792452830188,0.7142857142857141,0.7272727272727271,0.42857142857142805,0.729729729729729,0.8787878787878781,0.842105263157894,0.736815685309204,0.7805555555555551,custom,50
2,f1-score,0.780487804878048,0.5862068965517241,0.8125,0.862385321100917,0.769230769230769,0.842105263157894,0.5,0.794117647058823,0.865671641791044,0.780487804878048,0.759319314864727,0.77882988700638,custom,50
3,precision,0.8,0.642857142857142,0.833333333333333,0.872727272727272,0.928571428571428,0.8888888888888881,0.846153846153846,0.8787878787878781,0.8787878787878781,0.765765765765765,0.8335873435873431,0.824308055974722,custom,50
3,recall,0.7619047619047611,0.620689655172413,0.7812500000000001,0.90566037735849,0.7428571428571421,0.7272727272727271,0.785714285714285,0.7837837837837831,0.8787878787878781,0.894736842105263,0.7882657454956741,0.8194444444444441,custom,50
3,f1-score,0.780487804878048,0.631578947368421,0.8064516129032251,0.8888888888888881,0.825396825396825,0.799999999999999,0.8148148148148141,0.8285714285714281,0.8787878787878781,0.825242718446602,0.808022092005613,0.818819704183344,custom,50
