,,find,none,affirmative,greetings,move,clarify,bye,deny,show,pick up,macro avg,weighted avg,pipeline,split
1,precision,0.9310344827586201,0.8125,0.7826086956521741,0.8888888888888881,0.892857142857142,1.0,0.9166666666666661,0.9473684210526311,1.0,0.8043478260869561,0.897627212396308,0.8995474432572681,custom,0
1,recall,0.9642857142857141,0.764705882352941,0.8571428571428571,0.8888888888888881,0.7812500000000001,0.9310344827586201,1.0,0.9,0.9354838709677411,0.925,0.8947791696396761,0.894957983193277,custom,0
1,f1-score,0.9473684210526311,0.7878787878787881,0.818181818181818,0.8888888888888881,0.833333333333333,0.9642857142857141,0.956521739130434,0.923076923076923,0.9666666666666661,0.8604651162790691,0.894666740877426,0.895384767462127,custom,0
2,precision,0.925925925925925,0.8571428571428571,0.875,0.8888888888888881,0.8484848484848481,0.9032258064516121,0.6666666666666661,0.9444444444444441,0.96551724137931,0.8684210526315791,0.8743717732016131,0.887006373303405,custom,0
2,recall,0.892857142857142,0.7058823529411761,1.0,0.8888888888888881,0.875,0.96551724137931,0.9090909090909091,0.85,0.9032258064516121,0.8250000000000001,0.881546234160903,0.8823529411764701,custom,0
2,f1-score,0.9090909090909091,0.7741935483870961,0.9333333333333331,0.8888888888888881,0.861538461538461,0.9333333333333331,0.769230769230769,0.894736842105263,0.9333333333333331,0.846153846153846,0.8743833265395231,0.8823004020846821,custom,0
3,precision,0.9642857142857141,0.6666666666666661,0.7619047619047611,1.0,0.9,1.0,0.75,0.642857142857142,0.96551724137931,0.829268292682926,0.848049981977652,0.8627825310107221,custom,0
3,recall,0.9642857142857141,0.8235294117647051,0.7619047619047611,0.6666666666666661,0.8437500000000001,0.896551724137931,0.5454545454545451,0.9,0.9032258064516121,0.85,0.815536863066593,0.8487394957983191,custom,0
3,f1-score,0.9642857142857141,0.7368421052631571,0.7619047619047611,0.8,0.8709677419354841,0.9454545454545451,0.631578947368421,0.75,0.9333333333333331,0.839506172839506,0.823387332238492,0.850741235367887,custom,0
1,precision,0.9615384615384611,0.8,0.772727272727272,0.8888888888888881,0.892857142857142,0.9642857142857141,0.846153846153846,0.8571428571428571,1.0,0.7659574468085101,0.8749551630402691,0.8797265178947631,custom,10
1,recall,0.892857142857142,0.7058823529411761,0.8095238095238091,0.8888888888888881,0.7812500000000001,0.9310344827586201,1.0,0.9,0.9354838709677411,0.9,0.874492054793737,0.8739495798319321,custom,10
1,f1-score,0.925925925925925,0.7500000000000001,0.7906976744186041,0.8888888888888881,0.833333333333333,0.9473684210526311,0.9166666666666661,0.8780487804878041,0.9666666666666661,0.827586206896551,0.8725182564337071,0.874518285090452,custom,10
2,precision,0.925925925925925,0.8,0.875,0.8888888888888881,0.8571428571428571,0.9,0.6666666666666661,0.9411764705882351,0.9032258064516121,0.8857142857142851,0.864374090137847,0.8782139980175071,custom,10
2,recall,0.892857142857142,0.7058823529411761,1.0,0.8888888888888881,0.9375,0.9310344827586201,0.9090909090909091,0.8,0.9032258064516121,0.775,0.874347958298834,0.8739495798319321,custom,10
2,f1-score,0.9090909090909091,0.7500000000000001,0.9333333333333331,0.8888888888888881,0.8955223880597011,0.915254237288135,0.769230769230769,0.864864864864864,0.9032258064516121,0.8266666666666661,0.865607786387488,0.8732316688206481,custom,10
3,precision,0.9310344827586201,0.65,0.8095238095238091,1.0,0.896551724137931,1.0,0.5,0.6666666666666661,0.96551724137931,0.8250000000000001,0.824429392446633,0.8511470105283491,custom,10
3,recall,0.9642857142857141,0.764705882352941,0.8095238095238091,0.6666666666666661,0.8125,0.9310344827586201,0.45454545454545403,0.9,0.9032258064516121,0.8250000000000001,0.803148781658481,0.8403361344537811,custom,10
3,f1-score,0.9473684210526311,0.7027027027027021,0.8095238095238091,0.8,0.852459016393442,0.9642857142857141,0.47619047619047605,0.7659574468085101,0.9333333333333331,0.8250000000000001,0.807682092029062,0.842041233117203,custom,10
1,precision,0.866666666666666,0.764705882352941,0.8095238095238091,0.777777777777777,0.923076923076923,0.9310344827586201,0.9166666666666661,0.8571428571428571,1.0,0.777777777777777,0.862437284374404,0.8703463436656711,custom,30
1,recall,0.928571428571428,0.764705882352941,0.8095238095238091,0.777777777777777,0.75,0.9310344827586201,1.0,0.9,0.9032258064516121,0.875,0.863983918743619,0.8655462184873951,custom,30
1,f1-score,0.896551724137931,0.764705882352941,0.8095238095238091,0.777777777777777,0.827586206896551,0.9310344827586201,0.956521739130434,0.8780487804878041,0.949152542372881,0.8235294117647061,0.8614432357203451,0.8656883484071011,custom,30
2,precision,0.925925925925925,0.8571428571428571,0.826086956521739,0.8888888888888881,0.8787878787878781,0.875,0.6666666666666661,0.8888888888888881,0.96551724137931,0.8684210526315791,0.8641326356833731,0.878657060523764,custom,30
2,recall,0.892857142857142,0.7058823529411761,0.9047619047619041,0.8888888888888881,0.9062500000000001,0.96551724137931,0.9090909090909091,0.8,0.9032258064516121,0.8250000000000001,0.870147424637094,0.8739495798319321,custom,30
